EventID,edep_MeV,dose_Gy
705,8.000919e-01,2.750834e-10
706,6.884085e-01,2.366850e-10
707,6.599596e-01,2.269038e-10
708,6.647818e-01,2.285618e-10
709,6.996932e-01,2.405648e-10
710,8.029012e-01,2.760493e-10
711,6.677230e-01,2.295730e-10
712,6.403540e-01,2.201632e-10
713,8.332300e-01,2.864768e-10
714,6.746142e-01,2.319423e-10
715,7.213619e-01,2.480148e-10
716,6.111650e-01,2.101275e-10
717,7.234854e-01,2.487449e-10
718,7.951448e-01,2.733825e-10
719,8.397511e-01,2.887188e-10
720,8.418041e-01,2.894247e-10
721,5.739029e-01,1.973163e-10
722,7.155504e-01,2.460168e-10
723,5.842298e-01,2.008668e-10
724,6.753613e-01,2.321992e-10
725,6.620929e-01,2.276373e-10
726,7.928357e-01,2.725886e-10
727,8.750219e-01,3.008454e-10
728,6.328286e-01,2.175758e-10
729,8.037282e-01,2.763336e-10
730,6.793220e-01,2.335609e-10
731,6.224352e-01,2.140024e-10
732,6.421728e-01,2.207885e-10
733,8.428001e-01,2.897671e-10
734,6.207569e-01,2.134254e-10
735,5.805231e-01,1.995924e-10
736,7.249203e-01,2.492383e-10
737,6.294452e-01,2.164125e-10
738,5.584368e-01,1.919988e-10
739,6.104400e-01,2.098783e-10
740,5.575823e-01,1.917050e-10
741,6.156770e-01,2.116788e-10
742,5.648236e-01,1.941947e-10
743,5.609473e-01,1.928619e-10
744,5.867430e-01,2.017309e-10
745,7.913233e-01,2.720686e-10
746,6.696977e-01,2.302519e-10
747,6.865149e-01,2.360339e-10
748,6.793704e-01,2.335775e-10
749,8.664114e-01,2.978850e-10
750,6.145480e-01,2.112907e-10
751,7.135845e-01,2.453409e-10
752,9.547583e-01,3.282600e-10
753,6.978950e-01,2.399466e-10
754,8.921302e-01,3.067275e-10
755,6.628315e-01,2.278912e-10
756,8.583961e-01,2.951292e-10
757,5.955477e-01,2.047581e-10
758,6.765658e-01,2.326133e-10
759,6.646970e-01,2.285326e-10
760,9.576807e-01,3.292647e-10
761,7.130830e-01,2.451684e-10
762,6.664987e-01,2.291521e-10
763,8.388207e-01,2.883989e-10
764,7.797757e-01,2.680984e-10
765,7.122490e-01,2.448817e-10
766,6.273097e-01,2.156783e-10
767,6.851580e-01,2.355674e-10
768,5.777153e-01,1.986270e-10
769,6.480886e-01,2.228224e-10
770,6.582141e-01,2.263037e-10
